DS_Name,T,N,p,k,Bin,Cost,SDratio,correl,cancor1,cancor2,fract1,fract2,skewness,kurtosis,Hc,Hx,MCx,EnAtr,NSRatio,Alg_Name,binaryClass
0,690.0,690.0,14,2,4,0,1.2623,0.1024,0.7713,0.7410583333333334,1.0,0.7000416666666666,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,0,1
0,690.0,690.0,14,2,4,0,1.2623,0.1024,0.7713,0.7410583333333334,1.0,0.7000416666666666,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,1,1
0,690.0,690.0,14,2,4,0,1.2623,0.1024,0.7713,0.7410583333333334,1.0,0.7000416666666666,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,2,1
0,690.0,690.0,14,2,4,0,1.2623,0.1024,0.7713,0.7410583333333334,1.0,0.7000416666666666,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,3,1
0,690.0,690.0,14,2,4,0,1.2623,0.1024,0.7713,0.7410583333333334,1.0,0.7000416666666666,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,4,1
0,690.0,690.0,14,2,4,0,1.2623,0.1024,0.7713,0.7410583333333334,1.0,0.7000416666666666,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,5,1
0,690.0,690.0,14,2,4,0,1.2623,0.1024,0.7713,0.7410583333333334,1.0,0.7000416666666666,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,6,1
0,690.0,690.0,14,2,4,0,1.2623,0.1024,0.7713,0.7410583333333334,1.0,0.7000416666666666,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,7,1
0,690.0,690.0,14,2,4,0,1.2623,0.1024,0.7713,0.7410583333333334,1.0,0.7000416666666666,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,8,1
0,690.0,690.0,14,2,4,0,1.2623,0.1024,0.7713,0.7410583333333334,1.0,0.7000416666666666,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,9,1
0,690.0,690.0,14,2,4,0,1.2623,0.1024,0.7713,0.7410583333333334,1.0,0.7000416666666666,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,10,1
0,690.0,690.0,14,2,4,0,1.2623,0.1024,0.7713,0.7410583333333334,1.0,0.7000416666666666,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,11,1
0,690.0,690.0,14,2,4,0,1.2623,0.1024,0.7713,0.7410583333333334,1.0,0.7000416666666666,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,12,1
0,690.0,690.0,14,2,4,0,1.2623,0.1024,0.7713,0.7410583333333334,1.0,0.7000416666666666,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,13,1
0,690.0,690.0,14,2,4,0,1.2623,0.1024,0.7713,0.7410583333333334,1.0,0.7000416666666666,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,14,1
0,690.0,690.0,14,2,4,0,1.2623,0.1024,0.7713,0.7410583333333334,1.0,0.7000416666666666,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,15,1
0,690.0,690.0,14,2,4,0,1.2623,0.1024,0.7713,0.7410583333333334,1.0,0.7000416666666666,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,16,1
0,690.0,690.0,14,2,4,0,1.2623,0.1024,0.7713,0.7410583333333334,1.0,0.7000416666666666,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,17,1
0,690.0,690.0,14,2,4,0,1.2623,0.1024,0.7713,0.7410583333333334,1.0,0.7000416666666666,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,18,1
0,690.0,690.0,14,2,4,0,1.2623,0.1024,0.7713,0.7410583333333334,1.0,0.7000416666666666,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,19,1
0,690.0,690.0,14,2,4,0,1.2623,0.1024,0.7713,0.7410583333333334,1.0,0.7000416666666666,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,20,1
0,690.0,690.0,14,2,4,0,1.2623,0.1024,0.7713,0.7410583333333334,1.0,0.7000416666666666,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,21,1
0,690.0,690.0,14,2,4,0,1.2623,0.1024,0.7713,0.7410583333333334,1.0,0.7000416666666666,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,22,1
0,690.0,690.0,14,2,4,0,1.2623,0.1024,0.7713,0.7410583333333334,1.0,0.7000416666666666,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,23,1
1,16000.0,20000.0,7,2,0,0,1.0975,0.1146,0.6109,0.7410583333333334,1.0,0.7000416666666666,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,0,1
1,16000.0,20000.0,7,2,0,0,1.0975,0.1146,0.6109,0.7410583333333334,1.0,0.7000416666666666,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,1,1
1,16000.0,20000.0,7,2,0,0,1.0975,0.1146,0.6109,0.7410583333333334,1.0,0.7000416666666666,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,2,1
1,16000.0,20000.0,7,2,0,0,1.0975,0.1146,0.6109,0.7410583333333334,1.0,0.7000416666666666,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,3,1
1,16000.0,20000.0,7,2,0,0,1.0975,0.1146,0.6109,0.7410583333333334,1.0,0.7000416666666666,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,4,1
1,16000.0,20000.0,7,2,0,0,1.0975,0.1146,0.6109,0.7410583333333334,1.0,0.7000416666666666,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,5,1
1,16000.0,20000.0,7,2,0,0,1.0975,0.1146,0.6109,0.7410583333333334,1.0,0.7000416666666666,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,6,0
1,16000.0,20000.0,7,2,0,0,1.0975,0.1146,0.6109,0.7410583333333334,1.0,0.7000416666666666,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,7,1
1,16000.0,20000.0,7,2,0,0,1.0975,0.1146,0.6109,0.7410583333333334,1.0,0.7000416666666666,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,8,0
1,16000.0,20000.0,7,2,0,0,1.0975,0.1146,0.6109,0.7410583333333334,1.0,0.7000416666666666,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,9,1
1,16000.0,20000.0,7,2,0,0,1.0975,0.1146,0.6109,0.7410583333333334,1.0,0.7000416666666666,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,10,1
1,16000.0,20000.0,7,2,0,0,1.0975,0.1146,0.6109,0.7410583333333334,1.0,0.7000416666666666,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,11,1
1,16000.0,20000.0,7,2,0,0,1.0975,0.1146,0.6109,0.7410583333333334,1.0,0.7000416666666666,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,12,1
1,16000.0,20000.0,7,2,0,0,1.0975,0.1146,0.6109,0.7410583333333334,1.0,0.7000416666666666,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,13,1
1,16000.0,20000.0,7,2,0,0,1.0975,0.1146,0.6109,0.7410583333333334,1.0,0.7000416666666666,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,14,1
1,16000.0,20000.0,7,2,0,0,1.0975,0.1146,0.6109,0.7410583333333334,1.0,0.7000416666666666,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,15,1
1,16000.0,20000.0,7,2,0,0,1.0975,0.1146,0.6109,0.7410583333333334,1.0,0.7000416666666666,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,16,1
1,16000.0,20000.0,7,2,0,0,1.0975,0.1146,0.6109,0.7410583333333334,1.0,0.7000416666666666,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,17,1
1,16000.0,20000.0,7,2,0,0,1.0975,0.1146,0.6109,0.7410583333333334,1.0,0.7000416666666666,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,18,1
1,16000.0,20000.0,7,2,0,0,1.0975,0.1146,0.6109,0.7410583333333334,1.0,0.7000416666666666,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,19,1
1,16000.0,20000.0,7,2,0,0,1.0975,0.1146,0.6109,0.7410583333333334,1.0,0.7000416666666666,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,20,1
1,16000.0,20000.0,7,2,0,0,1.0975,0.1146,0.6109,0.7410583333333334,1.0,0.7000416666666666,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,21,1
1,16000.0,20000.0,7,2,0,0,1.0975,0.1146,0.6109,0.7410583333333334,1.0,0.7000416666666666,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,22,1
1,16000.0,20000.0,7,2,0,0,1.0975,0.1146,0.6109,0.7410583333333334,1.0,0.7000416666666666,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,23,1
2,1250.0,2500.0,28,2,0,0,1.5124,0.3503,0.8869,0.7410583333333334,1.0,0.7000416666666666,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,0,1
2,1250.0,2500.0,28,2,0,0,1.5124,0.3503,0.8869,0.7410583333333334,1.0,0.7000416666666666,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,1,1
2,1250.0,2500.0,28,2,0,0,1.5124,0.3503,0.8869,0.7410583333333334,1.0,0.7000416666666666,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,2,1
2,1250.0,2500.0,28,2,0,0,1.5124,0.3503,0.8869,0.7410583333333334,1.0,0.7000416666666666,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,3,1
